Ucode,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
F248,30%,80%,10%,50%,10%,70%,50%,20%,80%,10%,60%,90%,10%,80%,20%,80%,50%,0%,0%,0%,50%,,,,,,,,,100%,100%,90%,70%,,,,,,30%,0%,0%,0%,90%,30%,50%,20%,90%,10%,50%,80%,,,10%,0%,0%,0%,0%,0%,0%,20%,10%,0%,10%,,20%,20%,20%,20%,20%,10%,80%,90%,,50%,50%,,,,,,,,,90%,90%,40%,30%,20%,0%,10%,10%,0%,20%,50%,10%,0%,,90%
F249,90%,70%,30%,80%,10%,10%,40%,40%,70%,80%,90%,90%,90%,10%,20%,40%,40%,60%,40%,30%,40%,100%,90%,80%,60%,50%,40%,30%,10%,90%,80%,70%,50%,100%,80%,60%,30%,10%,60%,,,,50%,40%,40%,30%,70%,10%,50%,30%,80%,60%,40%,20%,50%,20%,10%,50%,40%,40%,20%,10%,20%,40%,60%,60%,30%,40%,30%,40%,60%,70%,50%,60%,70%,90%,60%,40%,20%,80%,60%,40%,20%,60%,40%,40%,30%,40%,20%,30%,20%,20%,60%,70%,50%,40%,60%,80%
F250,90%,90%,10%,90%,0%,0%,10%,80%,10%,90%,90%,70%,10%,0%,30%,80%,20%,70%,20%,30%,70%,100%,80%,70%,60%,40%,20%,10%,10%,100%,100%,100%,80%,90%,70%,30%,10%,10%,20%,20%,30%,20%,80%,80%,60%,30%,60%,40%,70%,30%,70%,60%,30%,60%,40%,10%,0%,50%,10%,30%,30%,60%,10%,10%,30%,60%,20%,10%,50%,20%,70%,70%,80%,30%,60%,90%,70%,40%,20%,80%,60%,50%,40%,20%,10%,20%,10%,30%,20%,50%,40%,20%,30%,20%,10%,20%,30%,80%
F251,60%,70%,30%,40%,20%,70%,80%,40%,80%,10%,40%,80%,30%,60%,10%,80%,70%,90%,80%,80%,80%,100%,90%,80%,60%,50%,30%,10%,0%,100%,100%,70%,40%,100%,80%,60%,30%,10%,30%,10%,10%,10%,70%,20%,40%,0%,90%,10%,30%,80%,90%,20%,0%,20%,10%,10%,20%,40%,20%,30%,30%,0%,20%,90%,30%,40%,30%,70%,80%,60%,20%,20%,50%,40%,70%,100%,100%,100%,80%,100%,90%,70%,50%,70%,40%,70%,40%,40%,10%,20%,30%,10%,50%,30%,20%,20%,10%,80%
F252,90%,60%,70%,70%,60%,20%,40%,80%,80%,40%,70%,80%,30%,80%,40%,50%,30%,40%,80%,80%,90%,80%,70%,50%,50%,40%,20%,10%,10%,90%,80%,60%,40%,,,,,,90%,60%,50%,50%,60%,70%,60%,60%,40%,60%,30%,60%,50%,70%,40%,10%,20%,0%,0%,30%,30%,90%,90%,0%,0%,0%,0%,20%,0%,0%,10%,10%,0%,0%,0%,10%,10%,,,,,,,,,90%,70%,0%,0%,,,,,,0%,0%,10%,10%,0%,10%
F253,10%,70%,20%,10%,0%,0%,0%,70%,10%,0%,0%,0%,10%,0%,20%,80%,20%,60%,80%,80%,80%,100%,90%,80%,50%,30%,10%,0%,0%,100%,100%,80%,60%,100%,90%,70%,50%,30%,70%,0%,70%,30%,10%,30%,30%,30%,80%,20%,60%,60%,70%,40%,30%,0%,0%,0%,0%,20%,0%,20%,0%,0%,0%,0%,0%,0%,10%,80%,20%,20%,10%,0%,0%,80%,90%,100%,100%,80%,40%,100%,70%,40%,10%,80%,70%,20%,0%,50%,0%,0%,0%,0%,20%,30%,30%,30%,40%,10%
F254,70%,30%,70%,40%,80%,70%,30%,30%,80%,20%,40%,60%,30%,10%,60%,10%,10%,80%,70%,50%,60%,100%,100%,100%,100%,100%,90%,80%,60%,70%,60%,40%,40%,100%,80%,40%,40%,30%,70%,30%,30%,30%,70%,50%,40%,40%,70%,50%,90%,70%,80%,70%,30%,30%,20%,0%,10%,60%,40%,60%,50%,10%,30%,60%,30%,50%,50%,40%,70%,50%,20%,60%,90%,40%,70%,100%,100%,80%,50%,100%,90%,90%,90%,80%,60%,50%,20%,70%,10%,30%,20%,0%,70%,40%,60%,70%,70%,10%
F255,10%,10%,0%,10%,0%,0%,0%,70%,10%,10%,10%,80%,10%,10%,20%,90%,70%,80%,90%,80%,80%,100%,70%,30%,20%,10%,0%,0%,0%,0%,0%,0%,80%,90%,80%,50%,20%,10%,60%,40%,30%,40%,80%,40%,70%,70%,80%,30%,30%,40%,80%,70%,30%,0%,10%,0%,0%,60%,30%,70%,40%,40%,10%,80%,20%,40%,70%,80%,30%,30%,60%,70%,70%,30%,40%,100%,70%,20%,10%,90%,60%,30%,0%,60%,40%,70%,0%,80%,20%,0%,0%,0%,60%,20%,60%,60%,70%,80%
F256,70%,30%,50%,60%,60%,90%,80%,30%,50%,0%,10%,90%,30%,60%,40%,80%,50%,10%,10%,60%,80%,100%,90%,80%,20%,20%,20%,20%,20%,90%,60%,60%,50%,100%,100%,60%,10%,10%,80%,30%,50%,40%,10%,10%,60%,50%,10%,0%,40%,50%,50%,50%,0%,80%,50%,0%,70%,10%,70%,10%,80%,20%,60%,30%,80%,90%,80%,90%,80%,90%,90%,90%,70%,20%,30%,30%,20%,10%,0%,40%,30%,20%,10%,90%,70%,0%,0%,80%,10%,80%,50%,30%,10%,90%,70%,60%,20%,80%
F257,60%,80%,10%,70%,10%,20%,90%,80%,10%,90%,40%,10%,40%,90%,50%,70%,80%,90%,90%,10%,10%,100%,90%,80%,80%,70%,70%,70%,70%,100%,100%,100%,100%,80%,60%,50%,20%,10%,60%,70%,50%,60%,70%,50%,80%,70%,80%,20%,70%,50%,60%,30%,0%,10%,0%,0%,0%,30%,10%,20%,20%,10%,10%,60%,30%,70%,20%,80%,40%,10%,30%,40%,40%,60%,80%,100%,90%,60%,30%,100%,70%,50%,50%,70%,60%,70%,10%,60%,20%,0%,0%,0%,30%,10%,0%,0%,40%,10%
F258,70%,30%,10%,50%,20%,60%,60%,30%,80%,10%,70%,90%,60%,20%,20%,30%,80%,40%,30%,10%,20%,100%,100%,100%,100%,90%,80%,70%,60%,60%,50%,40%,30%,100%,90%,70%,40%,20%,10%,30%,30%,30%,10%,70%,20%,10%,60%,30%,80%,60%,70%,70%,10%,0%,0%,0%,0%,80%,20%,10%,10%,20%,20%,60%,10%,70%,20%,20%,20%,50%,20%,90%,80%,20%,50%,100%,70%,30%,10%,100%,80%,40%,20%,90%,30%,20%,0%,30%,40%,0%,10%,0%,90%,10%,30%,30%,10%,10%
F259,80%,60%,60%,80%,30%,90%,90%,60%,10%,90%,10%,30%,80%,40%,30%,90%,70%,80%,40%,80%,10%,100%,100%,100%,100%,100%,100%,100%,40%,100%,100%,100%,70%,100%,80%,80%,10%,10%,10%,10%,10%,90%,10%,10%,10%,10%,60%,80%,80%,90%,80%,60%,10%,70%,70%,40%,50%,60%,40%,30%,20%,40%,60%,80%,60%,90%,80%,60%,30%,60%,80%,80%,90%,50%,50%,100%,100%,90%,80%,100%,100%,70%,70%,80%,30%,80%,30%,60%,60%,70%,40%,30%,60%,60%,70%,70%,40%,10%
F260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,10%,10%,10%,80%,40%,70%,30%,60%,20%,20%,10%,10%,80%,30%,40%,80%,80%,60%,20%,80%,60%,30%,10%,70%,30%,70%,10%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,20%,50%,20%,70%,60%,70%,40%,70%,30%,40%,40%,60%,70%,20%,40%,70%,50%,30%,30%,60%,30%,20%,10%,60%,40%,30%,10%,40%,20%,10%,10%,0%,60%,30%,30%,20%,40%,80%
F262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,20%,20%,0%,80%,20%,60%,10%,40%,70%,60%,80%,90%,10%,0%,20%,20%,10%,0%,,20%,10%,0%,,50%,30%,30%,50%,60%,20%,40%,20%,0%,90%,70%,70%,50%,80%,80%
F263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,20%,60%,20%,60%,40%,30%,50%,70%,40%,60%,40%,40%,40%,40%,60%,100%,80%,40%,20%,80%,50%,20%,10%,50%,40%,50%,40%,60%,30%,30%,20%,10%,10%,20%,50%,50%,40%,10%
F264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,10%,10%,70%,70%,20%,20%,10%,70%,40%,30%,30%,50%,70%,80%,10%,100%,100%,100%,100%,100%,100%,100%,80%,70%,70%,40%,20%,30%,20%,70%,90%,20%,20%,80%,90%,70%,80%,80%
F265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80%,40%,90%,70%,10%,80%,80%,50%,80%,10%,90%,80%,90%,60%,80%,90%,70%,50%,20%,0%,60%,20%,0%,0%,70%,30%,50%,20%,80%,80%,10%,40%,0%,60%,0%,20%,30%,10%,10%
F266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80%,60%,10%,10%,60%,30%,70%,50%,80%,50%,40%,20%,40%,60%,30%,30%,30%,10%,0%,0%,40%,20%,0%,0%,70%,40%,50%,50%,60%,30%,10%,10%,10%,70%,30%,30%,50%,60%,80%
F267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,40%,10%,10%,90%,30%,20%,20%,40%,30%,40%,20%,30%,30%,20%,40%,80%,40%,20%,0%,90%,70%,40%,20%,60%,40%,50%,20%,30%,0%,30%,20%,0%,60%,40%,40%,40%,70%,70%
F268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,20%,0%,10%,50%,60%,80%,30%,60%,70%,50%,70%,10%,90%,20%,40%,90%,90%,80%,70%,100%,90%,60%,30%,30%,0%,70%,30%,30%,30%,0%,0%,0%,80%,0%,50%,20%,0%,10%
F269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,20%,10%,40%,90%,70%,50%,50%,30%,20%,70%,70%,30%,80%,30%,80%,100%,100%,80%,30%,100%,90%,80%,70%,30%,10%,70%,30%,30%,10%,70%,10%,0%,70%,30%,20%,20%,20%,90%
F270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40%,30%,30%,80%,10%,50%,80%,10%,30%,60%,80%,20%,10%,50%,90%,70%,100%,90%,80%,60%,100%,70%,60%,30%,90%,10%,50%,0%,40%,10%,80%,70%,10%,30%,80%,30%,20%,70%,90%
F271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,10%,0%,50%,40%,30%,30%,30%,60%,30%,50%,30%,50%,50%,30%,80%,30%,20%,20%,10%,20%,10%,10%,0%,70%,40%,40%,30%,70%,30%,90%,80%,30%,50%,50%,80%,60%,30%,90%
F272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60%,60%,20%,10%,40%,20%,80%,30%,90%,30%,60%,70%,30%,80%,90%,10%,100%,100%,80%,60%,100%,80%,60%,50%,70%,50%,20%,10%,20%,30%,0%,0%,0%,60%,30%,20%,10%,10%,20%
F273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,20%,30%,60%,90%,50%,80%,70%,80%,20%,10%,40%,60%,70%,10%,30%,100%,80%,60%,50%,90%,80%,60%,30%,80%,70%,30%,20%,60%,10%,50%,40%,0%,60%,30%,30%,30%,40%,70%
F274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60%,20%,40%,20%,90%,20%,20%,40%,60%,10%,70%,10%,10%,70%,40%,,100%,100%,100%,100%,100%,100%,70%,20%,0%,0%,80%,10%,30%,40%,90%,60%,0%,20%,80%,50%,80%,70%,30%
F275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,20%,50%,20%,80%,30%,30%,10%,10%,20%,70%,20%,20%,80%,30%,80%,80%,60%,20%,10%,80%,60%,20%,10%,20%,20%,70%,60%,80%,50%,20%,20%,0%,80%,90%,80%,80%,80%,10%
F276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,10%,10%,10%,40%,30%,70%,60%,80%,50%,50%,50%,30%,60%,40%,50%,70%,60%,50%,40%,80%,70%,50%,30%,40%,20%,70%,40%,60%,10%,40%,60%,20%,50%,60%,80%,70%,50%,10%
F277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,30%,10%,60%,90%,40%,60%,60%,70%,20%,10%,40%,30%,40%,30%,40%,100%,100%,90%,50%,100%,80%,50%,30%,60%,20%,40%,20%,30%,10%,60%,70%,20%,50%,50%,70%,30%,40%,80%
F278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40%,20%,10%,40%,70%,30%,30%,20%,30%,10%,20%,30%,40%,60%,40%,60%,100%,90%,60%,40%,80%,70%,50%,20%,60%,20%,60%,40%,40%,0%,30%,20%,10%,30%,60%,50%,40%,20%,90%
F279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,30%,10%,0%,70%,20%,40%,40%,10%,80%,90%,60%,80%,60%,70%,70%,80%,30%,20%,10%,80%,50%,30%,20%,70%,40%,30%,10%,,,30%,50%,10%,50%,10%,50%,40%,50%,10%
F280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40%,40%,20%,0%,50%,70%,30%,30%,50%,40%,20%,80%,70%,60%,20%,30%,90%,70%,40%,10%,90%,70%,30%,10%,30%,20%,50%,50%,70%,90%,20%,50%,0%,70%,40%,10%,10%,10%,80%
F281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,50%,30%,30%,70%,60%,50%,40%,60%,80%,80%,80%,50%,60%,70%,70%,50%,50%,30%,10%,70%,60%,40%,30%,40%,30%,50%,60%,50%,70%,40%,40%,20%,60%,50%,40%,30%,70%,70%
F282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,20%,10%,70%,60%,20%,50%,10%,70%,20%,20%,0%,0%,10%,10%,30%,100%,90%,60%,50%,100%,80%,70%,50%,50%,40%,40%,30%,40%,20%,70%,70%,10%,60%,30%,90%,30%,50%,80%
F283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,10%,10%,20%,60%,30%,60%,60%,60%,50%,20%,60%,60%,50%,10%,10%,90%,60%,30%,10%,100%,60%,40%,0%,20%,0%,60%,30%,40%,10%,30%,30%,10%,30%,20%,50%,60%,40%,10%
F284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70%,70%,30%,40%,50%,80%,70%,60%,30%,60%,50%,80%,90%,70%,60%,60%,,30%,10%,0%,30%,20%,10%,0%,60%,50%,70%,50%,50%,40%,40%,70%,10%,70%,30%,40%,40%,70%,90%
F285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,10%,0%,90%,70%,10%,80%,90%,90%,10%,20%,50%,60%,90%,60%,90%,20%,10%,0%,0%,20%,10%,0%,0%,20%,10%,60%,10%,80%,10%,20%,0%,0%,90%,80%,80%,90%,20%,10%
F286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,10%,0%,10%,80%,40%,90%,0%,30%,10%,80%,90%,90%,90%,20%,70%,100%,100%,80%,30%,100%,50%,10%,0%,90%,10%,90%,30%,80%,0%,20%,20%,0%,20%,10%,20%,10%,10%,90%
F287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%,10%,0%,50%,80%,20%,30%,30%,50%,0%,30%,10%,0%,30%,0%,50%,80%,20%,10%,0%,90%,30%,10%,0%,60%,30%,10%,0%,30%,0%,30%,30%,0%,30%,10%,50%,40%,20%,90%
F288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,20%,0%,10%,40%,50%,50%,20%,20%,50%,20%,60%,80%,60%,10%,30%,100%,90%,70%,20%,100%,70%,40%,20%,50%,10%,10%,10%,30%,10%,30%,10%,0%,50%,50%,20%,20%,10%,90%
F289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,20%,10%,50%,80%,60%,20%,40%,50%,20%,30%,30%,30%,30%,10%,30%,100%,100%,80%,50%,100%,90%,80%,70%,10%,80%,70%,20%,30%,10%,40%,60%,0%,70%,30%,50%,70%,60%,70%
F290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,30%,50%,70%,50%,80%,60%,70%,80%,90%,50%,30%,50%,60%,60%,80%,90%,70%,60%,40%,90%,80%,80%,70%,80%,90%,70%,30%,40%,60%,80%,70%,30%,40%,70%,80%,60%,90%,60%
F291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,50%,20%,0%,80%,40%,30%,80%,70%,80%,40%,90%,90%,70%,20%,90%,100%,80%,70%,70%,100%,90%,70%,70%,60%,40%,30%,30%,10%,0%,30%,30%,30%,70%,10%,60%,60%,70%,10%
F292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%,10%,0%,0%,0%,30%,40%,20%,30%,0%,0%,50%,50%,40%,30%,50%,100%,100%,80%,40%,100%,80%,60%,40%,,10%,60%,20%,70%,30%,0%,10%,0%,40%,30%,30%,30%,20%,90%
F293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70%,70%,30%,10%,60%,60%,70%,90%,80%,80%,80%,70%,70%,90%,30%,50%,20%,10%,0%,0%,20%,10%,10%,10%,30%,30%,50%,50%,70%,50%,40%,40%,20%,70%,50%,60%,60%,30%,90%
F294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,20%,10%,10%,0%,80%,20%,0%,20%,80%,80%,0%,0%,0%,50%,80%,100%,90%,70%,20%,100%,80%,70%,40%,90%,20%,80%,0%,10%,0%,30%,20%,0%,50%,70%,80%,20%,70%,10%
F295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,10%,0%,20%,80%,30%,80%,50%,90%,10%,90%,50%,20%,80%,30%,30%,90%,50%,50%,20%,90%,50%,20%,0%,70%,50%,10%,0%,20%,10%,40%,20%,0%,20%,10%,10%,10%,80%,90%
F296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%,10%,0%,20%,30%,50%,20%,0%,90%,50%,50%,0%,50%,0%,30%,30%,100%,60%,30%,0%,100%,20%,0%,0%,20%,60%,60%,0%,80%,30%,10%,0%,0%,40%,30%,60%,50%,90%,10%
F297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,50%,80%,20%,20%,10%,10%,50%,0%,30%,10%,50%,20%,20%,100%,80%,60%,10%,100%,40%,10%,10%,10%,0%,20%,0%,20%,10%,30%,50%,0%,50%,30%,40%,40%,80%,10%
F298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70%,80%,10%,20%,60%,60%,70%,30%,60%,50%,70%,40%,40%,80%,50%,60%,90%,80%,60%,30%,80%,50%,50%,20%,70%,40%,60%,20%,70%,10%,60%,50%,20%,30%,60%,20%,50%,40%,10%
F299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60%,40%,10%,0%,80%,60%,50%,40%,80%,90%,90%,70%,70%,90%,50%,90%,100%,100%,80%,50%,100%,100%,100%,70%,30%,10%,70%,40%,80%,0%,10%,10%,0%,50%,30%,30%,20%,70%,10%
F300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,20%,40%,10%,40%,30%,60%,80%,80%,60%,70%,60%,40%,60%,10%,20%,20%,10%,0%,0%,20%,10%,0%,0%,40%,50%,70%,40%,60%,30%,30%,20%,20%,40%,70%,70%,70%,60%,70%
F301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,30%,0%,30%,30%,80%,80%,80%,30%,20%,80%,30%,20%,80%,30%,60%,,60%,,,,60%,,,80%,30%,10%,10%,60%,80%,80%,10%,70%,80%,30%,90%,80%,70%,10%
F302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%,70%,80%,0%,0%,40%,90%,50%,20%,10%,30%,80%,90%,90%,60%,80%,,70%,,,,60%,,,50%,10%,60%,60%,80%,20%,10%,0%,0%,0%,20%,10%,20%,50%,70%
F303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,80%,50%,0%,0%,0%,50%,0%,0%,0%,50%,70%,90%,0%,80%,50%,30%,,80%,70%,30%,50%,30%,50%,30%,0%,0%,10%,0%,0%,50%,50%,70%,60%,10%,10%
F304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40%,30%,10%,20%,40%,10%,0%,0%,30%,50%,50%,30%,30%,50%,30%,70%,80%,30%,0%,0%,100%,60%,30%,10%,80%,50%,30%,10%,30%,10%,50%,10%,0%,50%,50%,70%,70%,30%,50%
F305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,20%,0%,20%,60%,40%,60%,70%,60%,30%,70%,60%,60%,70%,40%,60%,30%,20%,0%,0%,30%,20%,0%,0%,60%,30%,70%,30%,60%,30%,30%,30%,10%,70%,60%,70%,40%,70%,60%
F306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60%,40%,60%,20%,80%,90%,30%,10%,60%,10%,10%,60%,70%,70%,60%,70%,50%,60%,30%,10%,60%,50%,40%,30%,30%,10%,70%,70%,70%,50%,40%,40%,0%,80%,50%,70%,60%,80%,80%
F307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,20%,0%,60%,80%,40%,60%,70%,50%,20%,20%,50%,50%,50%,20%,70%,0%,30%,40%,30%,20%,30%,30%,20%,70%,40%,50%,30%,60%,10%,30%,20%,0%,30%,20%,50%,30%,30%,90%
